index	node_id	parent_id	is_root	depth	created_at	relative_root_seconds
0	3453646882841201		true	0	2012-06-05T19:50:46+08:00	0
1	3453853405793080	3453646882841201	false	1	2012-06-06T09:31:24+08:00	49238
2	3453853498462028	3453646882841201	false	1	2012-06-06T09:31:46+08:00	49260
3	3453853632706138	3453646882841201	false	1	2012-06-06T09:32:18+08:00	49292
4	3453853662221514	3453646882841201	false	1	2012-06-06T09:32:24+08:00	49298
5	3453853708368160	3453646882841201	false	1	2012-06-06T09:32:36+08:00	49310
6	3453853821638122	3453646882841201	false	1	2012-06-06T09:33:03+08:00	49337
7	3453853842614109	3453646882841201	false	1	2012-06-06T09:33:08+08:00	49342
8	3453853921860310	3453646882841201	false	1	2012-06-06T09:33:28+08:00	49362
9	3453853947340401	3453853821638122	false	2	2012-06-06T09:33:33+08:00	49367
10	3453853985096615	3453646882841201	false	1	2012-06-06T09:33:42+08:00	49376
11	3453854148363833	3453853947340401	false	3	2012-06-06T09:34:21+08:00	49415
12	3453854190658029	3453854148363833	false	4	2012-06-06T09:34:31+08:00	49425
13	3453854203242902	3453646882841201	false	1	2012-06-06T09:34:34+08:00	49428
14	3453854248627976	3453854190658029	false	5	2012-06-06T09:34:44+08:00	49438
15	3453854336712692	3453646882841201	false	1	2012-06-06T09:35:06+08:00	49460
16	3453854446717758	3453646882841201	false	1	2012-06-06T09:35:31+08:00	49485
17	3453854454563312	3453854248627976	false	6	2012-06-06T09:35:33+08:00	49487
18	3453854513839952	3453646882841201	false	1	2012-06-06T09:35:48+08:00	49502
19	3453854576346980	3453854454563312	false	7	2012-06-06T09:36:02+08:00	49516
20	3453854585158157	3453854576346980	false	8	2012-06-06T09:36:05+08:00	49519
21	3453854706395764	3453854446717758	false	2	2012-06-06T09:36:34+08:00	49548
22	3453854752542187	3453854585158157	false	9	2012-06-06T09:36:45+08:00	49559
23	3453854831664971	3453646882841201	false	1	2012-06-06T09:37:04+08:00	49578
24	3453854836444680	3453854454563312	false	7	2012-06-06T09:37:04+08:00	49578
25	3453854882752483	3453854836444680	false	8	2012-06-06T09:37:16+08:00	49590
26	3453855008444337	3453646882841201	false	1	2012-06-06T09:37:46+08:00	49620
27	3453855100900886	3453646882841201	false	1	2012-06-06T09:38:08+08:00	49642
28	3453855142688641	3453646882841201	false	1	2012-06-06T09:38:17+08:00	49651
29	3453855209974622	3453853662221514	false	2	2012-06-06T09:38:33+08:00	49667
30	3453855243536046	3453646882841201	false	1	2012-06-06T09:38:42+08:00	49676
31	3453855323079481	3453646882841201	false	1	2012-06-06T09:39:01+08:00	49695
32	3453855339200976	3453646882841201	false	1	2012-06-06T09:39:06+08:00	49700
33	3453855402953073	3453646882841201	false	1	2012-06-06T09:39:21+08:00	49715
34	3453855507832193	3453646882841201	false	1	2012-06-06T09:39:43+08:00	49737
35	3453855603891691	3453646882841201	false	1	2012-06-06T09:40:08+08:00	49762
36	3453855708723823	3453854576346980	false	8	2012-06-06T09:40:33+08:00	49787
37	3453855742762798	3453855708723823	false	9	2012-06-06T09:40:39+08:00	49793
38	3453855759111827	3453854513839952	false	2	2012-06-06T09:40:45+08:00	49799
39	3453855834559373	3453855742762798	false	10	2012-06-06T09:41:03+08:00	49817
40	3453855877008604	3453855834559373	false	11	2012-06-06T09:41:13+08:00	49827
41	3453855914255131	3453646882841201	false	1	2012-06-06T09:41:22+08:00	49836
42	3453855918960830	3453855877008604	false	12	2012-06-06T09:41:23+08:00	49837
43	3453856040187083	3453646882841201	false	1	2012-06-06T09:41:52+08:00	49866
44	3453856199077062	3453646882841201	false	1	2012-06-06T09:42:30+08:00	49904
45	3453856212187651	3453646882841201	false	1	2012-06-06T09:42:32+08:00	49906
46	3453856266332504	3453646882841201	false	1	2012-06-06T09:42:46+08:00	49920
47	3453856341690496	3453855918960830	false	13	2012-06-06T09:43:04+08:00	49938
48	3453856468267651	3453856212187651	false	2	2012-06-06T09:43:34+08:00	49968
49	3453856485048193	3453646882841201	false	1	2012-06-06T09:43:36+08:00	49970
50	3453856488498592	3453646882841201	false	1	2012-06-06T09:43:39+08:00	49973
51	3453856518609246	3453856040187083	false	2	2012-06-06T09:43:45+08:00	49979
52	3453856556366507	3453856341690496	false	14	2012-06-06T09:43:55+08:00	49989
53	3453856665262937	3453646882841201	false	1	2012-06-06T09:44:20+08:00	50014
54	3453856707214105	3453646882841201	false	1	2012-06-06T09:44:31+08:00	50025
55	3453856715002377	3453853405793080	false	2	2012-06-06T09:44:33+08:00	50027
56	3453856840837819	3453646882841201	false	1	2012-06-06T09:45:03+08:00	50057
57	3453857088709716	3453646882841201	false	1	2012-06-06T09:46:01+08:00	50115
58	3453857139496670	3453856556366507	false	15	2012-06-06T09:46:13+08:00	50127
59	3453857143246836	3453646882841201	false	1	2012-06-06T09:46:15+08:00	50129
60	3453857235986143	3453646882841201	false	1	2012-06-06T09:46:36+08:00	50150
61	3453857244376210	3453646882841201	false	1	2012-06-06T09:46:38+08:00	50152
62	3453857386750125	3453857139496670	false	16	2012-06-06T09:47:13+08:00	50187
63	3453857399336222	3453857386750125	false	17	2012-06-06T09:47:17+08:00	50191
64	3453857621680797	3453857399336222	false	18	2012-06-06T09:48:08+08:00	50242
65	3453857646851449	3453857621680797	false	19	2012-06-06T09:48:14+08:00	50248
66	3453857696663326	3453854576346980	false	8	2012-06-06T09:48:27+08:00	50261
67	3453857705584308	3453855142688641	false	2	2012-06-06T09:48:29+08:00	50263
68	3453857809915399	3453857386750125	false	17	2012-06-06T09:48:54+08:00	50288
69	3453857927738998	3453646882841201	false	1	2012-06-06T09:49:22+08:00	50316
70	3453857982276095	3453854248627976	false	6	2012-06-06T09:49:35+08:00	50329
71	3453858053786027	3453646882841201	false	1	2012-06-06T09:49:52+08:00	50346
72	3453858061984019	3453646882841201	false	1	2012-06-06T09:49:54+08:00	50348
73	3453858103531808	3453646882841201	false	1	2012-06-06T09:50:03+08:00	50357
74	3453858132893571	3453857982276095	false	7	2012-06-06T09:50:11+08:00	50365
75	3453858242114234	3453858132893571	false	8	2012-06-06T09:50:36+08:00	50390
76	3453858552200846	3453858242114234	false	9	2012-06-06T09:51:51+08:00	50465
77	3453858565339967	3453646882841201	false	1	2012-06-06T09:51:55+08:00	50469
78	3453858653439071	3453646882841201	false	1	2012-06-06T09:52:13+08:00	50487
79	3453858703781773	3453646882841201	false	1	2012-06-06T09:52:26+08:00	50500
80	3453858783490238	3453858552200846	false	10	2012-06-06T09:52:46+08:00	50520
81	3453858787685872	3453853405793080	false	2	2012-06-06T09:52:46+08:00	50520
82	3453858817051730	3453858783490238	false	11	2012-06-06T09:52:53+08:00	50527
