index	task_id	root_id	label_value	total_nodes	root_created_at	window_name	requested_total_points
1	3453646882841201|window_500	3453646882841201	rumor	1000	2012-06-05 19:50:46+08	window_500	500
2	3458052025942521|window_500	3458052025942521	rumor	1000	2012-06-17 23:35:14+08	window_500	500
3	3458738764029954|window_500	3458738764029954	rumor	1000	2012-06-19 21:04:01+08	window_500	500
4	3460120078103292|window_500	3460120078103292	rumor	1000	2012-06-23 16:32:55+08	window_500	500
5	3462269600134003|window_500	3462269600134003	rumor	1000	2012-06-29 14:54:21+08	window_500	500
6	3465261540071546|window_500	3465261540071546	rumor	1000	2012-07-07 21:03:15+08	window_500	500
7	3471040577916614|window_500	3471040577916614	rumor	1000	2012-07-23 19:47:05+08	window_500	500
8	3474993889611780|window_500	3474993889611780	rumor	1000	2012-08-03 17:36:06+08	window_500	500
9	3475302015075964|window_500	3475302015075964	rumor	1000	2012-08-04 14:00:31+08	window_500	500
10	3475420018566028|window_500	3475420018566028	rumor	1000	2012-08-04 21:49:25+08	window_500	500
11	3476014229176895|window_500	3476014229176895	rumor	1000	2012-08-06 13:10:36+08	window_500	500
12	3476366005708918|window_500	3476366005708918	rumor	1000	2012-08-07 12:28:26+08	window_500	500
13	3476433059938818|window_500	3476433059938818	rumor	1000	2012-08-07 16:54:53+08	window_500	500
14	3476496058745719|window_500	3476496058745719	rumor	1000	2012-08-07 21:05:13+08	window_500	500
15	3476559849884422|window_500	3476559849884422	rumor	1000	2012-08-08 01:18:42+08	window_500	500
16	3476724542925166|window_500	3476724542925166	rumor	1000	2012-08-08 12:13:08+08	window_500	500
17	3479635566472827|window_500	3479635566472827	rumor	1000	2012-08-16 13:00:30+08	window_500	500
18	3485463900094387|window_500	3485463900094387	rumor	1000	2012-09-01 15:00:10+08	window_500	500
19	3488713802136794|window_500	3488713802136794	rumor	1000	2012-09-10 14:14:09+08	window_500	500
20	3489101477126498|window_500	3489101477126498	rumor	1000	2012-09-11 15:54:39+08	window_500	500
21	3489105411393740|window_500	3489105411393740	rumor	1000	2012-09-11 16:10:17+08	window_500	500
22	3490292449965980|window_500	3490292449965980	rumor	1000	2012-09-14 22:47:09+08	window_500	500
23	3495585271593099|window_500	3495585271593099	rumor	1000	2012-09-29 13:18:56+08	window_500	500
24	3495729601661914|window_500	3495729601661914	rumor	1000	2012-09-29 22:52:28+08	window_500	500
25	3500214822383187|window_500	3500214822383187	rumor	1000	2012-10-12 07:55:07+08	window_500	500
26	3502018951541090|window_500	3502018951541090	rumor	1000	2012-10-17 07:24:06+08	window_500	500
27	3502823666515332|window_500	3502823666515332	rumor	1000	2012-10-19 12:41:44+08	window_500	500
28	3507900985440121|window_500	3507900985440121	rumor	1000	2012-11-02 12:57:11+08	window_500	500
29	3512376240679226|window_500	3512376240679226	rumor	1000	2012-11-14 21:20:15+08	window_500	500
30	3516051495056011|window_500	3516051495056011	rumor	1000	2012-11-25 00:44:24+08	window_500	500
31	3516538713809703|window_500	3516538713809703	rumor	1000	2012-11-26 09:00:26+08	window_500	500
32	3518396224240158|window_500	3518396224240158	rumor	1000	2012-12-01 12:01:31+08	window_500	500
